ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,humidity,humidity_lower,humidity_upper,humidity_lag1,humidity_lag1_lower,humidity_lag1_upper,temp_rolling3,temp_rolling3_lower,temp_rolling3_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-05-02,14.995133996080394,22.180238363460514,22.805983007871365,14.995133996080394,14.995133996080394,7.489020213308215,7.489020213308215,7.489020213308215,7.440214295683444,7.440214295683444,7.440214295683444,0.07666303593784113,0.07666303593784113,0.07666303593784113,0.0013602321581704941,0.0013602321581704941,0.0013602321581704941,7.362191027587433,7.362191027587433,7.362191027587433,0.04880591762476928,0.04880591762476928,0.04880591762476928,0.0,0.0,0.0,22.48415420938861
2023-05-03,14.993004807020395,22.088654127272576,22.73170831405956,14.993004807020395,14.993004807020395,7.408365645960987,7.408365645960987,7.408365645960987,7.47149251000218,7.47149251000218,7.47149251000218,0.14241023546160084,0.14241023546160084,0.14241023546160084,0.0008192026582806683,0.0008192026582806683,0.0008192026582806683,7.328263071882299,7.328263071882299,7.328263071882299,-0.06312686404119411,-0.06312686404119411,-0.06312686404119411,0.0,0.0,0.0,22.401370452981382
2023-05-04,14.990875617960393,22.245954700561878,22.835562839375683,14.990875617960393,14.990875617960393,7.539945371364607,7.539945371364607,7.539945371364607,7.586493236808655,7.586493236808655,7.586493236808655,0.15931665819628185,0.15931665819628185,0.15931665819628185,0.0015205371951748875,0.0015205371951748875,0.0015205371951748875,7.425656041417199,7.425656041417199,7.425656041417199,-0.04654786544404843,-0.04654786544404843,-0.04654786544404843,0.0,0.0,0.0,22.530820989325
2023-05-05,14.98874642890039,22.092727410616163,22.746979097260777,14.98874642890039,14.98874642890039,7.425811497555445,7.425811497555445,7.425811497555445,7.386150696579178,7.386150696579178,7.386150696579178,0.0466071732984083,0.0466071732984083,0.0466071732984083,0.001700880361804829,0.001700880361804829,0.001700880361804829,7.3378426429189645,7.3378426429189645,7.3378426429189645,0.039660800976268194,0.039660800976268194,0.039660800976268194,0.0,0.0,0.0,22.414557926455835
2023-05-06,14.986617239840388,22.014804017978758,22.63128523388516,14.986617239840388,14.986617239840388,7.336381959094699,7.336381959094699,7.336381959094699,7.33081025155221,7.33081025155221,7.33081025155221,0.12738230414188428,0.12738230414188428,0.12738230414188428,0.0004985925842718841,0.0004985925842718841,0.0004985925842718841,7.202929354826054,7.202929354826054,7.202929354826054,0.005571707542489345,0.005571707542489345,0.005571707542489345,0.0,0.0,0.0,22.322999198935086
2023-05-07,14.984488050780389,21.686548076080836,22.3161140402832,14.984488050780389,14.984488050780389,7.022612970139479,7.022612970139479,7.022612970139479,7.078948071548382,7.078948071548382,7.078948071548382,0.040971699053514665,0.040971699053514665,0.040971699053514665,0.0013602321581704941,0.0013602321581704941,0.0013602321581704941,7.0366161403366965,7.0366161403366965,7.0366161403366965,-0.05633510140890232,-0.05633510140890232,-0.05633510140890232,0.0,0.0,0.0,22.00710102091987
2023-05-08,14.982358868832746,22.229483699295074,22.84061389607363,14.982358868832746,14.982358868832746,7.557099303424603,7.557099303424603,7.557099303424603,7.485127898674016,7.485127898674016,7.485127898674016,0.0898124758425931,0.0898124758425931,0.0898124758425931,0.00043847819539523733,0.00043847819539523733,0.00043847819539523733,7.394876944636029,7.394876944636029,7.394876944636029,0.0719714047505852,0.0719714047505852,0.0719714047505852,0.0,0.0,0.0,22.539458172257348
2023-05-09,14.980229686885105,22.525853537463032,23.13788697373039,14.980229686885105,14.980229686885105,7.850027168724615,7.850027168724615,7.850027168724615,7.801221251099975,7.801221251099975,7.801221251099975,0.10108342433238063,0.10108342433238063,0.10108342433238063,0.0009594695656595123,0.0009594695656595123,0.0009594695656595123,7.6991783572019346,7.6991783572019346,7.6991783572019346,0.048805917624639525,0.048805917624639525,0.048805917624639525,0.0,0.0,0.0,22.83025685560972
2023-05-10,14.978100504937464,22.635133694863562,23.251659216875264,14.978100504937464,14.978100504937464,7.968177188152102,7.968177188152102,7.968177188152102,8.031304052193288,8.031304052193288,8.031304052193288,0.09544795008748674,0.09544795008748674,0.09544795008748674,0.0010796983434128086,0.0010796983434128086,0.0010796983434128086,7.934776403762389,7.934776403762389,7.934776403762389,-0.06312686404118609,-0.06312686404118609,-0.06312686404118609,0.0,0.0,0.0,22.946277693089566
2023-05-11,14.97597132298982,22.416116115050897,23.044320129367133,14.97597132298982,14.97597132298982,7.768651656085701,7.768651656085701,7.768651656085701,7.815199521529649,7.815199521529649,7.815199521529649,0.0278222591487627,0.0278222591487627,0.0278222591487627,0.0010195839545361592,0.0010195839545361592,0.0010195839545361592,7.786357678426349,7.786357678426349,7.786357678426349,-0.04654786544394685,-0.04654786544394685,-0.04654786544394685,0.0,0.0,0.0,22.74462297907552
2023-05-12,14.973842141042178,22.398668876526855,23.020335722489477,14.973842141042178,14.973842141042178,7.7446437893164575,7.7446437893164575,7.7446437893164575,7.704982988340102,7.704982988340102,7.704982988340102,0.03909320763854995,0.03909320763854995,0.03909320763854995,0.00029821128801639323,0.00029821128801639323,0.00029821128801639323,7.665591569413536,7.665591569413536,7.665591569413536,0.03966080097635431,0.03966080097635431,0.03966080097635431,0.0,0.0,0.0,22.718485930358636
2023-05-13,14.971712959094535,22.1281709195046,22.76206774017571,14.971712959094535,14.971712959094535,7.46990817480372,7.46990817480372,7.46990817480372,7.46433646726129,7.46433646726129,7.46433646726129,0.03157924197869187,0.03157924197869187,0.03157924197869187,0.00041844006576968653,0.00041844006576968653,0.00041844006576968653,7.432338785216828,7.432338785216828,7.432338785216828,0.005571707542430302,0.005571707542430302,0.005571707542430302,0.0,0.0,0.0,22.441621133898256
2023-05-14,14.969583777146894,22.07513978663607,22.695613463985637,14.969583777146894,14.969583777146894,7.421993345520974,7.421993345520974,7.421993345520974,7.478328446929841,7.478328446929841,7.478328446929841,0.10296191574734506,0.10296191574734506,0.10296191574734506,0.00033828754726749195,0.00033828754726749195,0.00033828754726749195,7.375028243635229,7.375028243635229,7.375028243635229,-0.05633510140886697,-0.05633510140886697,-0.05633510140886697,0.0,0.0,0.0,22.39157712266787
2023-05-15,14.96745459519925,22.144183344234666,22.780915850895457,14.96745459519925,14.96745459519925,7.491320303920082,7.491320303920082,7.491320303920082,7.419348899169825,7.419348899169825,7.419348899169825,0.16870911527110463,0.16870911527110463,0.16870911527110463,0.0010997364730383566,0.0010997364730383566,0.0010997364730383566,7.249540047425682,7.249540047425682,7.249540047425682,0.07197140475025707,0.07197140475025707,0.07197140475025707,0.0,0.0,0.0,22.458774899119334
2023-05-16,14.965325413251609,21.95439887412502,22.579231575124005,14.965325413251609,14.965325413251609,7.2859236320226195,7.2859236320226195,7.2859236320226195,7.237117714397974,7.237117714397974,7.237117714397974,0.13489626980174263,0.13489626980174263,0.13489626980174263,0.0018010710099325745,0.0018010710099325745,0.0018010710099325745,7.100420373586298,7.100420373586298,7.100420373586298,0.048805917624647095,0.048805917624647095,0.048805917624647095,0.0,0.0,0.0,22.25124904527423
2023-05-17,14.963196231303968,21.449846204332157,22.07512119613785,14.963196231303968,14.963196231303968,6.814400992622612,6.814400992622612,6.814400992622612,6.877527856663974,6.877527856663974,6.877527856663974,0.0278222591487627,0.0278222591487627,0.0278222591487627,0.0014403846766726915,0.0014403846766726915,0.0014403846766726915,6.848265212838538,6.848265212838538,6.848265212838538,-0.06312686404136202,-0.06312686404136202,-0.06312686404136202,0.0,0.0,0.0,21.77759722392658
2023-05-18,14.961067049356325,21.109991280194844,21.703685227544163,14.961067049356325,14.961067049356325,6.467304718920084,6.467304718920084,6.467304718920084,6.513852584364027,6.513852584364027,6.513852584364027,-0.02477550047024491,-0.02477550047024491,-0.02477550047024491,0.00029821128801639323,0.00029821128801639323,0.00029821128801639323,6.538329873546255,6.538329873546255,6.538329873546255,-0.04654786544394235,-0.04654786544394235,-0.04654786544394235,0.0,0.0,0.0,21.42837176827641
2023-05-19,14.958937867408682,21.304500527396506,21.937789640849815,14.958937867408682,14.958937867408682,6.672327294914307,6.672327294914307,6.672327294914307,6.632666493937949,6.632666493937949,6.632666493937949,0.10484040716230952,0.10484040716230952,0.10484040716230952,-0.0002628563414989806,-0.0002628563414989806,-0.0002628563414989806,6.5280889431171385,6.5280889431171385,6.5280889431171385,0.0396608009763575,0.0396608009763575,0.0396608009763575,0.0,0.0,0.0,21.63126516232299
2023-05-20,14.956808736520298,21.1836187582888,21.813870048384395,14.956808736520298,14.956808736520298,6.544069167268748,6.544069167268748,6.544069167268748,6.538497459725985,6.538497459725985,6.538497459725985,0.05975661320316025,0.05975661320316025,0.05975661320316025,0.0011197746026639045,0.0011197746026639045,0.0011197746026639045,6.477621071920161,6.477621071920161,6.477621071920161,0.00557170754276207,0.00557170754276207,0.00557170754276207,0.0,0.0,0.0,21.500877903789046
2023-05-21,14.954679605631917,21.1150378567452,21.7353316696215,14.954679605631917,14.954679605631917,6.461111156374922,6.461111156374922,6.461111156374922,6.517446257783741,6.517446257783741,6.517446257783741,0.12738230414188428,0.12738230414188428,0.12738230414188428,0.0006388594916507281,0.0006388594916507281,0.0006388594916507281,6.389425094150206,6.389425094150206,6.389425094150206,-0.056335101408820185,-0.056335101408820185,-0.056335101408820185,0.0,0.0,0.0,21.41579076200684
2023-05-22,14.952550474743534,20.970503003515923,21.60705904625874,14.952550474743534,14.952550474743534,6.3361159741457165,6.3361159741457165,6.3361159741457165,6.264144569395396,6.264144569395396,6.264144569395396,0.10671889857727423,0.10671889857727423,0.10671889857727423,0.0013602321581704941,0.0013602321581704941,0.0013602321581704941,6.156065438659951,6.156065438659951,6.156065438659951,0.07197140475032102,0.07197140475032102,0.07197140475032102,0.0,0.0,0.0,21.288666448889252
2023-05-23,14.95042134385515,21.0143274801125,21.646891436118622,14.95042134385515,14.95042134385515,6.382226725228783,6.382226725228783,6.382226725228783,6.333420807604265,6.333420807604265,6.333420807604265,0.03721471622358549,0.03721471622358549,0.03721471622358549,0.0011398127322894554,0.0011398127322894554,0.0011398127322894554,6.29506627864839,6.29506627864839,6.29506627864839,0.048805917624517345,0.048805917624517345,0.048805917624517345,0.0,0.0,0.0,21.33264806908393
2023-05-24,14.948292212966766,21.042279158408597,21.673570651790047,14.948292212966766,14.948292212966766,6.419370586003445,6.419370586003445,6.419370586003445,6.4824974500448,6.4824974500448,6.4824974500448,0.06163510461812471,0.06163510461812471,0.06163510461812471,0.00039840193614413866,0.00039840193614413866,0.00039840193614413866,6.42046394349053,6.42046394349053,6.42046394349053,-0.063126864041354,-0.063126864041354,-0.063126864041354,0.0,0.0,0.0,21.367662798970212
2023-05-25,14.946163082078384,21.172969084422185,21.793465631824436,14.946163082078384,14.946163082078384,6.534836454833903,6.534836454833903,6.534836454833903,6.581384320277745,6.581384320277745,6.581384320277745,0.07666303593784113,0.07666303593784113,0.07666303593784113,0.0006588976212762762,0.0006588976212762762,0.0006588976212762762,6.504062386718627,6.504062386718627,6.504062386718627,-0.04654786544384078,-0.04654786544384078,-0.04654786544384078,0.0,0.0,0.0,21.480999536912286
2023-05-26,14.944033951190002,20.930839680048486,21.537359860800226,14.944033951190002,14.944033951190002,6.290529542680582,6.290529542680582,6.290529542680582,6.250868741704343,6.250868741704343,6.250868741704343,0.10484040716230952,0.10484040716230952,0.10484040716230952,0.0008192026582806683,0.0008192026582806683,0.0008192026582806683,6.145209131883752,6.145209131883752,6.145209131883752,0.03966080097623916,0.03966080097623916,0.03966080097623916,0.0,0.0,0.0,21.234563493870585
2023-05-27,14.941904820301618,20.525868760764855,21.14674118995802,14.941904820301618,14.941904820301618,5.896921264981722,5.896921264981722,5.896921264981722,5.8913495574390184,5.8913495574390184,5.8913495574390184,-0.02665399188520963,-0.02665399188520963,-0.02665399188520963,0.0011197746026639045,0.0011197746026639045,0.0011197746026639045,5.916883774721564,5.916883774721564,5.916883774721564,0.005571707542703025,0.005571707542703025,0.005571707542703025,0.0,0.0,0.0,20.83882608528334
